ai0,ai1,port0/line0,port0/line1,port0/line2,port0/line3
-1.5434294637539043,-1.5617347144513047,0.0,0.0,0.0,1.0
-1.5638077645604866,-1.6025031403162995,0.0,0.0,0.0,1.0
-1.573996914963777,-1.6228873532487977,0.0,0.0,0.0,1.0
-1.5485240389555486,-1.607599193549424,0.0,0.0,0.0,1.0
-1.4975782869390937,-1.5566386612181802,0.0,0.0,0.0,1.0
-1.4313488093177007,-1.4751018094881871,0.0,0.0,0.0,1.0
-1.3600247564946617,-1.3833728512919468,0.0,0.0,0.0,1.0
-1.2988898540749148,-1.296739946328831,0.0,0.0,0.0,1.0
-1.2581332524617501,-1.2304912542982134,0.0,0.0,0.0,1.0
-1.2377549516551678,-1.1897228284332169,0.0,0.0,0.0,1.0
-1.2173766508485855,-1.164242562267594,0.0,0.0,0.0,1.0
-1.2020929252436492,-1.1489544025682221,0.0,0.0,0.0,1.0
-1.1969983500420032,-1.1489544025682221,0.0,0.0,0.0,1.0
-1.2071875004452952,-1.1744346687338432,0.0,0.0,0.0,1.0
-1.2428495268568138,-1.2202991478319642,0.0,0.0,0.0,1.0
-1.2937952788732705,-1.2814517866294572,0.0,0.0,0.0,1.0
-1.3549301812930175,-1.3527965318932011,0.0,0.0,0.0,1.0
-1.4109705085111184,-1.4139491706906941,0.0,0.0,0.0,1.0
-1.456821685325929,-1.4700057562550626,0.0,0.0,0.0,1.0
-1.4873891365358016,-1.5209662885863082,0.0,0.0,0.0,1.0
-1.517956587745676,-1.5617347144513047,0.0,0.0,0.0,1.0
-1.5434294637539043,-1.607599193549424,0.0,0.0,0.0,1.0
-1.5485240389555486,-1.6330794597150469,0.0,0.0,0.0,1.0
-1.5281457381489663,-1.6279834064819223,0.0,0.0,0.0,1.0
-1.4771999861325114,-1.597407087083175,0.0,0.0,0.0,1.0
-1.4007813581078281,-1.5413505015188065,0.0,0.0,0.0,1.0
-1.324362730083143,-1.464909703021938,0.0,0.0,0.0,1.0
-1.2581332524617501,-1.403757064224445,0.0,0.0,0.0,1.0
-1.2122820756469412,-1.3629886383594485,0.0,0.0,0.0,1.0
-1.186809199638713,-1.3375083721938275,0.0,0.0,0.0,1.0
-1.1715254740337748,-1.3222202124944538,0.0,0.0,0.0,1.0
-1.1613363236304846,-1.30693205279508,0.0,0.0,0.0,1.0
-1.1664308988321306,-1.3018359995619555,0.0,0.0,0.0,1.0
-1.1969983500420032,-1.3171241592613292,0.0,0.0,0.0,1.0
-1.2428495268568138,-1.368084691592573,0.0,0.0,0.0,1.0
-1.3141735796798528,-1.439429436856317,0.0,0.0,0.0,1.0
-1.38549763250289,-1.5209662885863082,0.0,0.0,0.0,1.0
-1.451727110124283,-1.5923110338500504,0.0,0.0,0.0,1.0
-1.4924837117374476,-1.643271566181296,0.0,0.0,0.0,1.0
-1.517956587745676,-1.6738478855800416,0.0,0.0,0.0,1.0
-1.523051162947322,-1.6891360452794153,0.0,0.0,0.0,1.0
-1.523051162947322,-1.6942320985125399,0.0,0.0,0.0,1.0
-1.517956587745676,-1.6840399920462907,0.0,0.0,0.0,1.0
-1.4822945613341574,-1.6534636726475451,0.0,0.0,0.0,1.0
-1.4211596589144104,-1.6025031403162995,0.0,0.0,0.0,1.0
-1.3396464556880794,-1.5260623418194328,0.0,0.0,0.0,1.0
-1.2479441020584598,-1.439429436856317,0.0,0.0,0.0,1.0
-1.1664308988321306,-1.368084691592573,0.0,0.0,0.0,1.0
-1.115485146815674,-1.3120281060282046,0.0,0.0,0.0,1.0
-1.0900122708074456,-1.2865478398625818,0.0,0.0,0.0,1.0
-1.0798231204041553,-1.2763557333963327,0.0,0.0,0.0,1.0
-1.0747285452025093,-1.2712596801632081,0.0,0.0,0.0,1.0
-1.0849176956058013,-1.2865478398625818,0.0,0.0,0.0,1.0
-1.12057972201732,-1.3222202124944538,0.0,0.0,0.0,1.0
-1.1817146244370669,-1.3935649577581959,0.0,0.0,0.0,1.0
-1.2632278276633961,-1.4751018094881871,0.0,0.0,0.0,1.0
-1.3447410308897254,-1.5617347144513047,0.0,0.0,0.0,1.0
-1.4160650837127644,-1.6381755129481714,0.0,0.0,0.0,1.0
-1.461916260527575,-1.6942320985125399,0.0,0.0,0.0,1.0
-1.4924837117374476,-1.7299044711444118,0.0,0.0,0.0,1.0
-1.507767437342384,-1.7553847373100346,0.0,0.0,0.0,1.0
-1.517956587745676,-1.765576843776282,0.0,0.0,0.0,1.0
-1.51286201254403,-1.7553847373100346,0.0,0.0,0.0,1.0
-1.4771999861325114,-1.7248084179112873,0.0,0.0,0.0,1.0
-1.4262542341160547,-1.6636557791137943,0.0,0.0,0.0,1.0
-1.3600247564946617,-1.5770228741506767,0.0,0.0,0.0,1.0
-1.2785115532683324,-1.4903899691875608,0.0,0.0,0.0,1.0
-1.2071875004452952,-1.4139491706906941,0.0,0.0,0.0,1.0
-1.1511471732271925,-1.3578925851263257,0.0,0.0,0.0,1.0
-1.1103905716140279,-1.3222202124944538,0.0,0.0,0.0,1.0
-1.0849176956058013,-1.3018359995619555,0.0,0.0,0.0,1.0
-1.0696339700008632,-1.2865478398625818,0.0,0.0,0.0,1.0
-1.059444819597573,-1.2865478398625818,0.0,0.0,0.0,1.0
-1.0747285452025093,-1.3120281060282046,0.0,0.0,0.0,1.0
-1.115485146815674,-1.368084691592573,0.0,0.0,0.0,1.0
-1.1817146244370669,-1.449621543322566,0.0,0.0,0.0,1.0
-1.2632278276633961,-1.5413505015188065,0.0,0.0,0.0,1.0
-1.3396464556880794,-1.6228873532487977,0.0,0.0,0.0,1.0
-1.4007813581078281,-1.6891360452794153,0.0,0.0,0.0,1.0
-1.446632534922637,-1.7350005243775364,0.0,0.0,0.0,1.0
-1.4822945613341574,-1.7757689502425311,0.0,0.0,0.0,1.0
-1.51286201254403,-1.8063452696412785,0.0,0.0,0.0,1.0
-1.523051162947322,-1.8216334293406522,0.0,0.0,0.0,1.0
-1.4975782869390937,-1.811441322874403,0.0,0.0,0.0,1.0
